# code: Count_Alpha
# Count_Alpha
# Time (s), Counts, Avg Counts in 1 seconds
       800,     70, 70.000
       801,     56, 63.000
       802,     71, 65.667
       803,     63, 65.000
       804,     63, 64.600
       805,     58, 63.500
       806,     51, 61.714
       807,     66, 62.250
       808,     55, 61.444
       809,     61, 61.400
       810,     61, 61.364
       811,     67, 61.833
       812,     53, 61.154
       813,     51, 60.429
       814,     68, 60.933
       815,     58, 60.750
       816,     64, 60.941
       817,     56, 60.667
       818,     55, 60.368
       819,     57, 60.200
       820,     55, 59.952
       821,     60, 59.955
       822,     68, 60.304
       823,     54, 60.042
       824,     69, 60.400
       825,     56, 60.231
       826,     66, 60.444
       827,     49, 60.036
       828,     54, 59.828
       829,     70, 60.167
       830,     57, 60.065
       831,     61, 60.094
       832,     71, 60.424
       833,     61, 60.441
       834,     63, 60.514
       835,     50, 60.222
       836,     44, 59.784
       837,     82, 60.368
       838,     70, 60.615
       839,     52, 60.400
       840,     57, 60.317
       841,     67, 60.476
       842,     56, 60.372
       843,     48, 60.091
       844,     69, 60.289
       845,     45, 59.957
       846,     67, 60.106
       847,     66, 60.229
       848,     57, 60.163
       849,     54, 60.040
       850,     61, 60.059
       851,     56, 59.981
       852,     77, 60.302
       853,     66, 60.407
       854,     61, 60.418
       855,     52, 60.268
       856,     58, 60.228
       857,     57, 60.172
       858,     76, 60.441
       859,     84, 60.833
       860,     57, 60.770
       861,     62, 60.790
       862,     56, 60.714
       863,     66, 60.797
       864,     38, 60.446
       865,     63, 60.485
       866,     61, 60.493
       867,     46, 60.279
       868,     69, 60.406
       869,     63, 60.443
       870,     50, 60.296
       871,     65, 60.361
       872,     56, 60.301
       873,     48, 60.135
       874,     56, 60.080
       875,     66, 60.158
       876,     74, 60.338
       877,     55, 60.269
       878,     63, 60.304
       879,     70, 60.425
       880,     44, 60.222
       881,     77, 60.427
       882,     77, 60.626
       883,     65, 60.679
       884,     65, 60.729
       885,     53, 60.640
       886,     52, 60.540
       887,     57, 60.500
       888,     73, 60.640
       889,     57, 60.600
       890,     85, 60.868
       891,     58, 60.837
       892,     51, 60.731
       893,     70, 60.830
       894,     69, 60.916
       895,     59, 60.896
       896,     63, 60.918
       897,     53, 60.837
       898,     62, 60.848
# Time (s), Counts, Avg Counts in 1 seconds
       899,     64, 60.880
       900,     66, 60.931
       901,     65, 60.971
       902,     68, 61.039
