# Count_Alpha
# Time (s), Counts, Avg Counts in 1 seconds
      2092,     22, 26.431
      2093,     19, 26.402
      2094,     25, 26.397
      2095,     22, 26.380
      2096,     16, 26.341
      2097,     22, 26.325
      2098,     19, 26.297
      2099,     23, 26.285
      2100,     23, 26.272
      2101,     20, 26.249
      2102,     20, 26.226
      2103,     13, 26.177
      2104,     25, 26.173
      2105,     18, 26.143
      2106,     29, 26.153
      2107,     30, 26.167
      2108,     23, 26.156
      2109,     18, 26.126
      2110,     32, 26.147
      2111,     28, 26.154
      2112,     18, 26.125
      2113,     25, 26.121
      2114,     30, 26.135
      2115,     22, 26.120
      2116,     25, 26.116
      2117,     20, 26.095
      2118,     33, 26.119
      2119,     39, 26.164
      2120,     71, 26.319
      2121,    165, 26.799
      2122,    152, 27.231
      2123,    124, 27.564
      2124,     17, 27.527
      2125,     25, 27.519
      2126,     27, 27.517
      2127,     24, 27.505
      2128,     16, 27.466
      2129,     25, 27.458
      2130,     16, 27.419
      2131,     19, 27.391
# Time (s), Counts, Avg Counts in 1 seconds
      2132,     21, 27.370
      2133,     30, 27.379
      2134,     52, 27.460
      2135,     42, 27.508
      2136,     39, 27.546
      2137,     27, 27.544
      2138,     47, 27.608
      2139,     30, 27.616
      2140,     25, 27.607
      2141,     49, 27.676
      2142,     24, 27.665
      2143,     50, 27.736
      2144,     54, 27.821
      2145,     61, 27.927
      2146,     95, 28.140
      2147,    180, 28.622
      2148,    343, 29.617
      2149,    302, 30.476
      2150,    279, 31.258
      2151,    293, 32.078
      2152,    243, 32.737
      2153,    243, 33.393
      2154,    269, 34.124
      2155,    301, 34.950
      2156,    264, 35.657
      2157,    287, 36.431
      2158,    269, 37.144
      2159,    237, 37.755
      2160,    230, 38.341
      2161,    181, 38.775
      2162,    155, 39.127
      2163,    319, 39.973
      2164,    130, 40.244
      2165,    110, 40.453
      2166,    260, 41.111
      2167,    274, 41.806
      2168,    145, 42.113
      2169,    131, 42.377
      2170,    145, 42.680
      2171,    139, 42.965
      2172,    117, 43.182
      2173,    103, 43.358
      2174,    135, 43.626
      2175,     97, 43.781
      2176,    141, 44.064
      2177,    149, 44.368
      2178,    133, 44.624
      2179,    121, 44.844
      2180,    144, 45.129
      2181,    128, 45.367
      2182,    124, 45.591
      2183,    124, 45.815
      2184,    129, 46.051
      2185,    106, 46.221
      2186,    192, 46.633
      2187,    213, 47.101
      2188,    276, 47.744
      2189,    192, 48.148
      2190,    123, 48.358
      2191,    120, 48.557
      2192,    142, 48.817
      2193,    159, 49.122
      2194,    163, 49.436
      2195,    209, 49.876
      2196,    229, 50.368
      2197,    231, 50.863
      2198,    262, 51.440
      2199,    213, 51.880
      2200,    241, 52.394
      2201,    220, 52.848
      2202,    210, 53.273
      2203,    181, 53.617
      2204,    138, 53.844
      2205,    134, 54.059
      2206,    403, 54.992
      2207,    151, 55.248
      2208,    120, 55.420
      2209,    165, 55.711
      2210,    200, 56.093
      2211,    201, 56.475
      2212,    228, 56.926
      2213,    223, 57.362
      2214,    227, 57.806
      2215,    261, 58.337
      2216,    180, 58.654
      2217,    289, 59.252
      2218,    238, 59.715
      2219,    182, 60.031
      2220,    203, 60.399
      2221,    149, 60.627
      2222,    199, 60.982
      2223,    127, 61.151
      2224,    121, 61.304
      2225,    165, 61.567
      2226,    208, 61.939
      2227,    141, 62.139
      2228,    171, 62.414
      2229,    122, 62.564
      2230,    133, 62.741
      2231,    146, 62.950
# Time (s), Counts, Avg Counts in 1 seconds
      2232,    125, 63.105
      2233,    139, 63.294
      2234,    129, 63.458
      2235,    107, 63.566
      2236,    167, 63.822
      2237,    373, 64.585
      2238,    117, 64.714
      2239,    130, 64.875
      2240,    117, 65.002
      2241,    116, 65.127
      2242,    389, 65.917
      2243,    143, 66.105
      2244,    150, 66.308
      2245,    197, 66.625
      2246,    257, 67.085
      2247,    240, 67.501
      2248,    292, 68.041
      2249,    347, 68.710
      2250,    248, 69.139
      2251,    267, 69.611
      2252,    229, 69.990
      2253,    244, 70.404
      2254,    215, 70.746
      2255,    243, 71.154
      2256,    282, 71.651
      2257,    218, 71.995
      2258,    208, 72.315
      2259,    262, 72.759
      2260,    199, 73.054
      2261,    214, 73.382
      2262,    270, 73.840
      2263,    220, 74.179
      2264,    245, 74.574
      2265,    229, 74.931
      2266,    245, 75.323
      2267,    265, 75.759
      2268,    286, 76.241
      2269,    229, 76.590
      2270,    260, 77.009
      2271,    270, 77.449
      2272,    242, 77.823
      2273,    238, 78.186
      2274,    211, 78.486
      2275,    254, 78.883
      2276,    199, 79.153
      2277,    227, 79.485
      2278,    203, 79.762
      2279,    220, 80.076
      2280,    229, 80.408
      2281,    345, 80.998
      2282,    244, 81.360
      2283,    300, 81.845
      2284,    220, 82.150
      2285,    160, 82.322
      2286,    167, 82.509
      2287,    238, 82.851
      2288,    246, 83.208
      2289,    195, 83.453
      2290,    217, 83.745
      2291,    161, 83.913
      2292,    272, 84.322
      2293,    241, 84.662
      2294,    269, 85.061
      2295,    204, 85.317
      2296,    276, 85.728
      2297,    297, 86.183
      2298,    223, 86.476
      2299,    274, 86.878
      2300,    224, 87.171
      2301,    182, 87.373
      2302,    244, 87.706
      2303,    272, 88.098
      2304,    109, 88.142
      2305,    108, 88.184
      2306,    152, 88.319
      2307,    208, 88.571
      2308,    230, 88.868
      2309,    226, 89.155
      2310,    228, 89.446
      2311,    229, 89.737
      2312,    241, 90.052
      2313,    201, 90.283
      2314,    336, 90.793
      2315,    211, 91.041
      2316,    231, 91.331
      2317,    228, 91.612
      2318,    212, 91.860
      2319,    199, 92.080
      2320,    200, 92.301
      2321,    246, 92.616
      2322,    201, 92.837
      2323,    204, 93.063
      2324,    220, 93.321
      2325,    273, 93.686
      2326,    186, 93.872
      2327,    284, 94.257
      2328,    254, 94.579
      2329,    263, 94.917
      2330,    209, 95.147
      2331,    222, 95.401
# Time (s), Counts, Avg Counts in 1 seconds
      2332,    236, 95.682
      2333,    254, 95.998
      2334,    281, 96.367
      2335,    195, 96.563
      2336,    218, 96.804
      2337,    225, 97.057
      2338,    260, 97.379
      2339,    293, 97.765
      2340,    200, 97.967
      2341,    229, 98.224
      2342,    298, 98.616
      2343,    267, 98.945
      2344,    247, 99.234
      2345,    260, 99.548
      2346,    267, 99.874
      2347,    370, 100.398
      2348,    227, 100.643
      2349,    206, 100.847
      2350,    244, 101.124
      2351,    256, 101.422
      2352,    222, 101.654
      2353,    204, 101.850
      2354,    279, 102.190
      2355,    183, 102.344
      2356,    258, 102.641
      2357,    317, 103.049
      2358,    211, 103.255
      2359,    255, 103.543
      2360,    256, 103.831
      2361,    205, 104.023
      2362,    221, 104.243
      2363,    238, 104.495
      2364,    250, 104.769
      2365,    242, 105.026
      2366,    217, 105.236
      2367,    319, 105.635
      2368,    245, 105.896
      2369,    237, 106.140
      2370,    238, 106.385
      2371,    246, 106.644
      2372,    232, 106.876
      2373,    225, 107.094
      2374,    262, 107.380
      2375,    174, 107.503
      2376,    328, 107.908
      2377,    265, 108.196
      2378,    188, 108.342
      2379,    334, 108.755
      2380,    317, 109.135
      2381,    225, 109.346
      2382,    221, 109.549
      2383,    244, 109.793
      2384,    233, 110.016
      2385,    280, 110.324
      2386,    232, 110.543
      2387,    223, 110.746
      2388,    268, 111.029
      2389,    247, 111.273
      2390,    209, 111.448
      2391,    164, 111.542
      2392,    213, 111.723
      2393,    273, 112.011
      2394,    220, 112.203
      2395,    247, 112.442
      2396,    275, 112.730
      2397,    284, 113.034
      2398,    268, 113.307
      2399,    238, 113.527
      2400,    237, 113.745
      2401,    252, 113.988
      2402,    233, 114.196
      2403,    203, 114.352
      2404,    214, 114.526
      2405,    211, 114.695
      2406,    220, 114.878
      2407,    198, 115.023
      2408,    210, 115.188
      2409,    215, 115.360
      2410,    224, 115.548
      2411,    202, 115.698
      2412,    269, 115.962
      2413,    270, 116.227
      2414,    190, 116.354
      2415,    236, 116.559
      2416,    248, 116.784
      2417,    189, 116.908
      2418,    186, 117.026
      2419,    192, 117.153
      2420,    182, 117.264
      2421,    237, 117.467
      2422,    280, 117.742
      2423,    230, 117.932
      2424,    308, 118.253
      2425,    241, 118.460
      2426,    237, 118.660
      2427,    225, 118.839
      2428,    294, 119.133
      2429,    190, 119.251
      2430,    175, 119.344
      2431,    203, 119.484
# Time (s), Counts, Avg Counts in 1 seconds
      2432,    263, 119.723
      2433,    208, 119.870
      2434,    217, 120.032
      2435,    184, 120.138
      2436,    195, 120.262
      2437,    183, 120.365
      2438,    100, 120.332
      2439,    123, 120.336
      2440,    130, 120.352
      2441,    239, 120.547
      2442,    229, 120.725
      2443,    300, 121.018
      2444,    241, 121.214
      2445,    220, 121.375
      2446,    299, 121.664
      2447,    244, 121.863
      2448,    216, 122.016
      2449,    239, 122.206
      2450,    278, 122.458
      2451,    339, 122.808
      2452,    195, 122.924
      2453,    118, 122.916
      2454,    205, 123.048
      2455,    239, 123.234
      2456,    303, 123.522
      2457,    256, 123.734
      2458,    313, 124.037
      2459,    245, 124.230
      2460,    246, 124.424
      2461,    240, 124.607
      2462,    280, 124.854
      2463,    273, 125.089
      2464,    256, 125.296
      2465,    214, 125.436
      2466,    189, 125.536
      2467,    320, 125.842
      2468,    236, 126.016
      2469,    243, 126.199
      2470,    162, 126.255
      2471,    209, 126.385
      2472,    238, 126.559
      2473,    351, 126.910
      2474,    250, 127.101
      2475,    252, 127.295
      2476,    215, 127.432
      2477,    253, 127.626
      2478,    193, 127.728
      2479,    198, 127.836
      2480,    251, 128.026
      2481,    195, 128.129
      2482,    226, 128.280
      2483,    251, 128.469
      2484,    205, 128.586
      2485,    233, 128.746
      2486,    291, 128.994
      2487,    222, 129.136
      2488,    283, 129.370
      2489,    200, 129.478
      2490,    289, 129.720
      2491,    243, 129.892
      2492,    257, 130.085
      2493,    310, 130.357
      2494,    267, 130.563
      2495,    243, 130.733
      2496,    264, 130.934
      2497,    243, 131.102
      2498,    278, 131.323
      2499,    215, 131.448
      2500,    247, 131.621
      2501,    267, 131.824
      2502,    258, 132.012
      2503,    216, 132.137
      2504,    280, 132.357
      2505,    184, 132.434
      2506,    186, 132.513
      2507,    253, 132.692
      2508,    187, 132.772
      2509,    237, 132.926
      2510,    236, 133.078
      2511,    218, 133.203
      2512,    251, 133.376
      2513,    243, 133.537
      2514,    219, 133.663
      2515,    208, 133.772
      2516,    182, 133.842
      2517,    211, 133.955
      2518,    261, 134.140
      2519,    234, 134.285
      2520,    277, 134.493
      2521,    251, 134.662
      2522,    232, 134.803
      2523,    194, 134.889
      2524,    256, 135.064
      2525,     87, 134.994
      2526,     25, 134.836
      2527,     30, 134.685
      2528,     35, 134.542
      2529,     25, 134.384
      2530,     24, 134.226
      2531,     18, 134.060
# Time (s), Counts, Avg Counts in 1 seconds
      2532,     19, 133.896
      2533,     26, 133.742
      2534,     21, 133.581
      2535,     29, 133.432
      2536,     21, 133.273
      2537,     13, 133.102
      2538,     15, 132.935
      2539,     18, 132.772
      2540,     22, 132.616
      2541,     29, 132.470
      2542,     23, 132.315
      2543,     24, 132.163
      2544,     22, 132.008
      2545,     34, 131.871
      2546,     36, 131.737
      2547,     15, 131.573
      2548,     36, 131.440
      2549,     23, 131.289
      2550,     17, 131.130
      2551,     19, 130.974
      2552,     13, 130.810
      2553,     38, 130.681
      2554,     16, 130.522
      2555,     17, 130.365
      2556,     36, 130.235
      2557,     29, 130.095
      2558,     34, 129.963
      2559,     22, 129.814
      2560,     15, 129.657
      2561,     27, 129.516
      2562,     19, 129.364
      2563,     21, 129.216
      2564,     23, 129.071
      2565,     25, 128.929
      2566,     17, 128.777
      2567,     22, 128.631
      2568,     27, 128.493
      2569,     36, 128.368
      2570,     28, 128.232
      2571,     26, 128.093
      2572,     25, 127.954
      2573,     19, 127.807
      2574,     30, 127.675
      2575,     23, 127.534
      2576,     23, 127.394
      2577,     32, 127.266
      2578,     23, 127.126
      2579,     20, 126.983
      2580,     18, 126.837
      2581,     30, 126.708
      2582,     25, 126.572
      2583,     19, 126.429
      2584,     32, 126.303
      2585,     30, 126.175
      2586,     21, 126.036
      2587,     24, 125.901
      2588,     21, 125.762
      2589,     20, 125.622
      2590,     23, 125.487
      2591,     19, 125.346
      2592,     21, 125.209
      2593,     15, 125.064
      2594,     25, 124.933
      2595,     28, 124.806
      2596,     20, 124.669
      2597,     20, 124.532
      2598,     16, 124.390
      2599,     23, 124.258
      2600,     15, 124.116
