# Count_Alpha
# Time (s), Counts, Avg Counts in 1 seconds
        15,    131, 131.000
        16,    115, 123.000
        17,    158, 134.667
        18,    135, 134.750
        19,    123, 132.400
        20,    103, 127.500
        21,    112, 125.286
        22,    125, 125.250
        23,    118, 124.444
        24,    158, 127.800
        25,    125, 127.545
        26,    120, 126.917
        27,    143, 128.154
        28,    111, 126.929
        29,    136, 127.533
        30,    123, 127.250
        31,    142, 128.118
        32,    129, 128.167
        33,    128, 128.158
        34,     95, 126.500
        35,     97, 125.095
        36,    119, 124.818
        37,    165, 126.565
        38,     93, 125.167
        39,    130, 125.360
        40,    134, 125.692
        41,    122, 125.556
        42,    102, 124.714
        43,     99, 123.828
        44,    137, 124.267
        45,    121, 124.161
        46,     91, 123.125
        47,    112, 122.788
        48,    128, 122.941
        49,    160, 124.000
        50,    117, 123.806
        51,    131, 124.000
        52,    128, 124.105
        53,    130, 124.256
        54,    107, 123.825
        55,    107, 123.415
        56,    136, 123.714
        57,     86, 122.837
        58,    111, 122.568
        59,    108, 122.244
        60,    112, 122.022
        61,    107, 121.702
        62,    118, 121.625
        63,    122, 121.633
        64,    127, 121.740
        65,    107, 121.451
        66,    112, 121.269
        67,    107, 121.000
        68,    153, 121.593
        69,     94, 121.091
        70,    114, 120.964
        71,    128, 121.088
        72,    103, 120.776
        73,    120, 120.763
        74,    120, 120.750
        75,    121, 120.754
        76,    120, 120.742
        77,    121, 120.746
        78,    139, 121.031
        79,    146, 121.415
        80,    139, 121.682
        81,    139, 121.940
        82,    137, 122.162
        83,    162, 122.739
        84,     95, 122.343
        85,    108, 122.141
        86,    114, 122.028
        87,    111, 121.877
        88,    113, 121.757
        89,    137, 121.960
        90,    125, 122.000
        91,    129, 122.091
        92,    125, 122.128
        93,    127, 122.190
        94,    121, 122.175
        95,    137, 122.358
        96,    134, 122.500
        97,    115, 122.410
        98,    143, 122.655
        99,    115, 122.565
       100,    100, 122.302
       101,    113, 122.195
       102,    168, 122.716
       103,    147, 122.989
       104,    119, 122.944
       105,    117, 122.879
       106,    129, 122.946
       107,    112, 122.828
       108,    120, 122.798
       109,    125, 122.821
       110,    120, 122.792
       111,    143, 123.000
       112,    143, 123.204
       113,    109, 123.061
# Time (s), Counts, Avg Counts in 1 seconds
       114,    115, 122.980
       115,    137, 123.119
       116,    131, 123.196
       117,    118, 123.146
       118,    110, 123.019
       119,    124, 123.029
       120,    129, 123.085
       121,    102, 122.888
       122,    136, 123.009
       123,    122, 123.000
       124,    126, 123.027
       125,    108, 122.892
       126,     95, 122.643
       127,    121, 122.628
       128,    140, 122.781
       129,    114, 122.704
       130,    109, 122.586
       131,    130, 122.650
       132,    122, 122.644
       133,    111, 122.546
       134,    114, 122.475
       135,    117, 122.430
       136,    124, 122.443
       137,    132, 122.520
       138,    100, 122.339
       139,    122, 122.336
       140,    147, 122.532
       141,    103, 122.378
       142,     95, 122.164
       143,    114, 122.101
       144,    128, 122.146
       145,    103, 122.000
       146,    129, 122.053
       147,    126, 122.083
       148,     97, 121.896
       149,    128, 121.941
       150,    104, 121.809
       151,    131, 121.876
       152,    137, 121.986
       153,    147, 122.165
       154,     89, 121.929
       155,    116, 121.887
       156,    152, 122.099
       157,    106, 121.986
       158,    137, 122.090
       159,    368, 123.786
       160,    308, 125.048
       161,    357, 126.626
       162,    160, 126.851
       163,    119, 126.799
       164,    139, 126.880
       165,    101, 126.709
       166,    128, 126.717
       167,    128, 126.725
       168,    124, 126.708
       169,    109, 126.594
       170,    141, 126.686
       171,    135, 126.739
       172,    120, 126.696
       173,    110, 126.591
       174,    121, 126.556
       175,    119, 126.509
       176,    126, 126.506
       177,    130, 126.528
       178,    108, 126.415
       179,    120, 126.376
       180,     87, 126.139
       181,    119, 126.096
       182,    119, 126.054
       183,     97, 125.882
       184,    123, 125.865
       185,    136, 125.924
       186,    131, 125.953
       187,    121, 125.925
       188,    130, 125.948
       189,    134, 125.994
       190,    135, 126.045
       191,    117, 125.994
       192,     92, 125.803
       193,    154, 125.961
       194,    147, 126.078
       195,    128, 126.088
       196,     95, 125.918
       197,    147, 126.033
       198,    156, 126.196
       199,    125, 126.189
       200,    126, 126.188
       201,    127, 126.192
       202,    132, 126.223
       203,    130, 126.243
       204,     91, 126.058
       205,    118, 126.016
       206,    157, 126.177
       207,    104, 126.062
       208,    112, 125.990
       209,    120, 125.959
       210,    161, 126.138
       211,    120, 126.107
       212,    115, 126.051
       213,    105, 125.945
# Time (s), Counts, Avg Counts in 1 seconds
       214,    123, 125.930
       215,    145, 126.025
       216,    109, 125.941
       217,    105, 125.837
       218,    151, 125.961
       219,    100, 125.834
       220,    108, 125.748
       221,    147, 125.850
       222,    137, 125.904
       223,    138, 125.962
       224,    129, 125.976
       225,    129, 125.991
       226,    168, 126.189
       227,    112, 126.122
       228,    135, 126.164
       229,    134, 126.200
       230,    106, 126.106
       231,    108, 126.023
       232,    125, 126.018
       233,    108, 125.936
       234,     91, 125.777
       235,    163, 125.946
       236,    127, 125.950
       237,    142, 126.022
       238,    111, 125.955
       239,     87, 125.782
       240,    133, 125.814
       241,    132, 125.841
       242,    128, 125.851
       243,     82, 125.659
       244,    112, 125.600
       245,    133, 125.632
       246,    117, 125.595
       247,    133, 125.627
       248,    153, 125.744
       249,    120, 125.719
       250,    127, 125.725
       251,    101, 125.620
       252,    105, 125.534
       253,    104, 125.444
       254,     98, 125.329
       255,     94, 125.199
       256,    112, 125.145
       257,     85, 124.979
       258,     79, 124.791
       259,    129, 124.808
       260,    138, 124.862
       261,    118, 124.834
       262,    104, 124.750
       263,    104, 124.667
       264,    152, 124.776
       265,    138, 124.829
       266,    119, 124.806
       267,    144, 124.881
       268,    118, 124.854
       269,    114, 124.812
       270,    123, 124.805
       271,    130, 124.825
       272,    102, 124.736
       273,    119, 124.714
       274,    159, 124.846
       275,    102, 124.759
       276,    167, 124.920
       277,    144, 124.992
       278,    113, 124.947
       279,    139, 125.000
       280,    148, 125.086
       281,    129, 125.101
       282,    128, 125.112
       283,    120, 125.093
       284,    119, 125.070
       285,    139, 125.122
       286,    102, 125.037
       287,    103, 124.956
       288,    124, 124.953
       289,    232, 125.342
       290,    357, 126.181
       291,    353, 127.000
       292,    265, 127.496
       293,    128, 127.498
       294,     84, 127.343
       295,    125, 127.334
       296,    117, 127.298
       297,    106, 127.223
       298,    120, 127.197
       299,     98, 127.095
       300,    102, 127.007
       301,    109, 126.944
       302,    125, 126.937
       303,    108, 126.872
       304,    151, 126.955
