Press any key to enter the REPL. Use CTRL-D to reload.

Adafruit CircuitPython 7.2.0-alpha.1-379-g54589de15 on 2022-02-10; Adafruit Feather ESP32-S2 TFT with ESP32S2
>>> 
soft reboot

Auto-reload is on. Simply save files over USB to run them or enter REPL to disable.
code.py output:
# takeTurbData_v1.py
# Sleep 0.05 s while warming up LED
# Pause 0.5 s before taking data
# Average over 10 measurements
# Gain = 64
# Sensor integration time is 700 ms
# Sleep time between cycles is 20 s
# LED warm up current is 100 mA, data current is 12.5 mA
# Time(s), Light(V),  LightStd, Average, StdDev
160663.0, 0.143458, 0.000942, 357.70, 119.26
160689.0, 0.143559, 0.001029, 431.90, 199.79
160716.0, 0.144365, 0.001125, 411.00, 34.30
160742.0, 0.144365, 0.001922, 434.30, 199.78
160769.0, 0.144063, 0.001148, 372.80, 125.54
160795.0, 0.144063, 0.001777, 425.30, 90.04
160821.0, 0.143056, 0.000846, 365.50, 122.28
160848.0, 0.144365, 0.001442, 425.30, 194.80
160874.0, 0.143458, 0.000691, 398.30, 13.36
160901.0, 0.143358, 0.000674, 440.80, 105.66
160927.0, 0.143358, 0.000810, 371.00, 124.51
160953.0, 0.143363, 0.001112, 354.60, 82.35
160980.0, 0.143660, 0.001689, 416.40, 42.43
161006.0, 0.144063, 0.001057, 418.20, 178.03
161033.0, 0.143861, 0.000957, 349.60, 185.99
161059.0, 0.143760, 0.000772, 439.60, 86.83
161085.0, 0.143559, 0.000814, 367.50, 122.88
# Time(s), Light(V),  LightStd, Average, StdDev
161112.0, 0.143861, 0.001773, 356.20, 189.05
161138.0, 0.143760, 0.000772, 424.80, 42.04
161165.0, 0.144063, 0.001236, 363.00, 121.03
161191.0, 0.143463, 0.001215, 359.00, 193.40
161217.0, 0.144163, 0.000616, 436.90, 81.55
161244.0, 0.143660, 0.000909, 411.40, 171.14
161270.0, 0.143665, 0.001490, 379.60, 133.75
161297.0, 0.143257, 0.000918, 415.80, 58.34
161323.0, 0.142763, 0.001329, 359.10, 119.85
161349.0, 0.143363, 0.001429, 423.20, 184.66
161376.0, 0.143559, 0.000814, 400.10, 30.36
161402.0, 0.143962, 0.000657, 461.30, 148.73
161429.0, 0.143760, 0.001269, 375.60, 127.39
161455.0, 0.143156, 0.000880, 382.60, 36.01
161481.0, 0.143760, 0.000999, 399.40, 18.45
161508.0, 0.143766, 0.001332, 427.50, 187.74
161534.0, 0.143861, 0.000712, 328.60, 165.46
161561.0, 0.143061, 0.001707, 462.60, 132.06
161587.0, 0.144269, 0.001744, 362.80, 121.49
161613.0, 0.143161, 0.000984, 379.00, 220.22
# Time(s), Light(V),  LightStd, Average, StdDev
161640.0, 0.143358, 0.000680, 406.60, 18.43
161666.0, 0.143760, 0.000893, 354.90, 118.40
161693.0, 0.143458, 0.001450, 341.60, 172.52
161719.0, 0.143760, 0.000772, 458.10, 126.39
161745.0, 0.143660, 0.000791, 388.90, 144.08
161772.0, 0.143861, 0.000841, 409.60, 165.39
161798.0, 0.144365, 0.001700, 405.30, 16.67
161825.0, 0.143660, 0.001014, 405.30, 160.45
161851.0, 0.144667, 0.001861, 383.70, 131.24
161877.0, 0.143766, 0.001408, 420.30, 83.39
161904.0, 0.143559, 0.000814, 386.40, 143.06
161930.0, 0.143861, 0.000712, 401.70, 154.94
161957.0, 0.144063, 0.001315, 394.90, 10.84
161983.0, 0.144163, 0.000884, 417.90, 68.96
162009.0, 0.143962, 0.000909, 396.20, 146.82
162036.0, 0.143861, 0.000841, 324.80, 145.43
Traceback (most recent call last):
  File "code.py", line 128, in <module>
KeyboardInterrupt: 

Code done running.

Press any key to enter the REPL. Use CTRL-D to reload.
