#  0.01 10 100
10 13
20 4
30 11
40 7
50 6
60 11
70 14
80 6
90 10
100 12
110 8
120 13
130 10
140 9
150 15
160 10
170 16
180 12
190 7
200 8
210 9
220 16
230 6
240 8
250 16
260 11
270 8
280 15
290 10
300 11
310 13
320 6
330 14
340 9
350 18
360 9
370 8
380 11
390 12
400 13
410 6
420 7
430 6
440 12
450 11
460 10
470 14
480 7
490 9
500 10
510 11
520 7
530 6
540 11
550 9
560 9
570 12
580 9
590 7
600 12
610 9
620 11
630 8
640 12
650 9
660 11
670 11
680 7
690 10
700 9
710 7
720 12
730 8
740 10
750 8
760 13
770 14
780 5
790 9
800 8
810 11
820 8
830 8
840 9
850 12
860 6
870 9
880 5
890 9
900 3
910 9
920 8
930 8
940 9
950 10
960 15
970 9
980 10
990 10
1000 14
# Time is up!

