# AWG_Sines.py
# NOTE: frequencies get rounded to the nearest integer
# Enter log for logarithmic freq spacing (default lin): log
# Logarithmic frequency sweep
# Enter f0, f1, nf (separated by spaces): 10 100000 25
# freqs = [10, 15, 22, 32, 46, 68, 100, 147, 215, 316, 464, 681, 1000, 1468, 2154, 3162, 4642, 6813, 10000, 14678, 21544, 31623, 46416, 68129, 100000]
# offset 0.500, amplitude 0.500
# step through frequencies
# Loop    1 of    1
# Freq    Vsig     VsRMS    Vfilt    VfRMS    H(f)
    10, -0.0046,  1.1689,  0.0011,  0.0212,  0.0181
    15, -0.0072,  1.1689,  0.0007,  0.0274,  0.0235
    22, -0.0077,  1.1692,  0.0014,  0.0379,  0.0324
    32,  0.0000,  1.1688,  0.0008,  0.0529,  0.0453
    46, -0.0007,  1.1686,  0.0009,  0.0747,  0.0639
    68, -0.0184,  1.1678,  0.0014,  0.1090,  0.0934
   100, -0.0041,  1.1682,  0.0011,  0.1583,  0.1355
   147, -0.0066,  1.1687,  0.0009,  0.2291,  0.1961
   215,  0.0007,  1.1682,  0.0010,  0.3251,  0.2783
   316, -0.0056,  1.1681,  0.0011,  0.4564,  0.3907
   464, -0.0031,  1.1649,  0.0027,  0.6184,  0.5309
   681, -0.0066,  1.1663, -0.0027,  0.7889,  0.6764
  1000, -0.0039,  1.1675,  0.0005,  0.9361,  0.8017
  1468, -0.0081,  1.1681, -0.0026,  1.0413,  0.8915
  2154, -0.0052,  1.1691,  0.0004,  1.1042,  0.9445
  3162, -0.0073,  1.1689, -0.0006,  1.1360,  0.9718
  4642, -0.0043,  1.1692,  0.0003,  1.1518,  0.9851
  6813, -0.0094,  1.1706, -0.0021,  1.1601,  0.9910
 10000, -0.0054,  1.1699,  0.0009,  1.1623,  0.9935
 14678, -0.0025,  1.1817,  0.0016,  1.1961,  1.0122
 21544, -0.0049,  1.1694,  0.0015,  1.1649,  0.9961
 31623, -0.0111,  1.1629,  0.0004,  1.1706,  1.0067
 46416, -0.0234,  1.1455,  0.0212,  1.1489,  1.0030
 68129, -0.0021,  1.1776, -0.0040,  1.1596,  0.9847
100000, -0.0281,  1.1789, -0.0298,  1.1909,  1.0102
# Clean up
# D O N E ! ! !

