# AWG_Sines.py
# NOTE: frequencies get rounded to the nearest integer
# Enter log for logarithmic freq spacing (default lin): log
# Logarithmic frequency sweep
# Enter f0, f1, nf (separated by spaces): 10 100000 25
# freqs = [10, 15, 22, 32, 46, 68, 100, 147, 215, 316, 464, 681, 1000, 1468, 2154, 3162, 4642, 6813, 10000, 14678, 21544, 31623, 46416, 68129, 100000]
# offset 0.500, amplitude 0.500
# step through frequencies
# Loop    1 of    1
# Freq    Vsig     VsRMS    Vfilt    VfRMS    H(f)
    10, -0.0050,  1.1683,  0.0015,  0.0192,  0.0164
    15, -0.0047,  1.1683,  0.0011,  0.0260,  0.0223
    22, -0.0075,  1.1688,  0.0009,  0.0364,  0.0311
    32, -0.0045,  1.1682,  0.0011,  0.0515,  0.0441
    46, -0.0022,  1.1687,  0.0013,  0.0731,  0.0625
    68, -0.0160,  1.1690, -0.0007,  0.1055,  0.0903
   100, -0.0048,  1.1684,  0.0011,  0.1500,  0.1284
   147, -0.0048,  1.1679,  0.0009,  0.2060,  0.1764
   215, -0.0065,  1.1682,  0.0013,  0.2696,  0.2308
   316, -0.0044,  1.1680,  0.0012,  0.3264,  0.2794
   464, -0.0047,  1.1665,  0.0030,  0.3673,  0.3149
   681, -0.0048,  1.1662, -0.0014,  0.3853,  0.3304
  1000, -0.0058,  1.1673, -0.0015,  0.3785,  0.3243
  1468, -0.0072,  1.1685, -0.0013,  0.3474,  0.2973
  2154, -0.0076,  1.1693, -0.0019,  0.2970,  0.2540
  3162, -0.0069,  1.1694, -0.0008,  0.2349,  0.2009
  4642, -0.0083,  1.1661, -0.0012,  0.1737,  0.1490
  6813, -0.0071,  1.1649, -0.0006,  0.1241,  0.1065
 10000, -0.0086,  1.1660, -0.0008,  0.0862,  0.0739
 14678, -0.0071,  1.1712, -0.0006,  0.0590,  0.0504
 21544, -0.0037,  1.1684, -0.0004,  0.0391,  0.0335
 31623, -0.0054,  1.1600, -0.0003,  0.0258,  0.0222
 46416, -0.0064,  1.1603, -0.0014,  0.0199,  0.0171
 68129, -0.0063,  1.1698, -0.0004,  0.0108,  0.0092
100000, -0.0141,  1.1727, -0.0004,  0.0113,  0.0096
# Clean up
# D O N E ! ! !
