# Count_Alpha
# Time (s), Counts, Avg Counts in 1 seconds
       334,    178, 117.859
       335,    133, 117.912
       336,    117, 117.909
       337,    114, 117.895
       338,    111, 117.872
       339,     87, 117.765
       340,    146, 117.862
       341,    133, 117.914
       342,    139, 117.986
       343,    119, 117.990
       344,    129, 118.027
       345,     98, 117.959
       346,    137, 118.024
       347,    118, 118.024
       348,    137, 118.087
       349,    133, 118.137
# Time (s), Counts, Avg Counts in 1 seconds
       350,    110, 118.110
       351,    130, 118.149
       352,    120, 118.156
       353,    100, 118.096
       354,     97, 118.026
       355,    136, 118.085
       356,    130, 118.124
       357,    117, 118.121
       358,    113, 118.104
       359,     97, 118.036
       360,    124, 118.055
       361,    107, 118.019
       362,    120, 118.026
       363,    136, 118.083
       364,    144, 118.166
       365,     99, 118.105
       366,    120, 118.111
       367,    120, 118.117
       368,    150, 118.217
       369,    108, 118.185
       370,    126, 118.209
       371,    147, 118.299
       372,    113, 118.283
       373,    115, 118.272
       374,    105, 118.231
       375,    107, 118.197
       376,    123, 118.212
       377,    110, 118.187
       378,    114, 118.174
       379,    103, 118.128
       380,    107, 118.094
       381,     88, 118.003
       382,    119, 118.006
       383,     99, 117.949
       384,    119, 117.952
       385,    124, 117.970
       386,    107, 117.937
       387,     96, 117.872
       388,    116, 117.867
       389,    105, 117.829
       390,     92, 117.753
       391,    134, 117.801
       392,    128, 117.830
       393,    116, 117.825
       394,    137, 117.881
       395,    108, 117.852
       396,    111, 117.832
       397,    103, 117.790
       398,     94, 117.721
       399,    120, 117.728
       400,    108, 117.700
       401,    118, 117.701
       402,    117, 117.699
       403,     87, 117.612
       404,    115, 117.605
       405,    118, 117.606
       406,    118, 117.607
       407,    116, 117.602
       408,    122, 117.614
       409,    122, 117.627
       410,    107, 117.597
       411,    129, 117.629
       412,    136, 117.680
       413,     96, 117.620
       414,    151, 117.712
       415,    109, 117.688
       416,    145, 117.762
       417,    122, 117.774
       418,    131, 117.810
       419,    139, 117.867
       420,    127, 117.892
       421,     89, 117.814
       422,    134, 117.858
       423,     92, 117.788
       424,    146, 117.864
       425,    101, 117.819
       426,    118, 117.819
       427,    105, 117.785
       428,    119, 117.788
       429,    115, 117.781
       430,    111, 117.763
       431,    123, 117.777
       432,    132, 117.814
       433,    135, 117.859
       434,    112, 117.844
       435,    118, 117.844
       436,    118, 117.845
       437,    114, 117.835
       438,    122, 117.845
       439,    146, 117.918
       440,    115, 117.910
       441,    115, 117.903
       442,    102, 117.862
       443,    152, 117.949
       444,    120, 117.954
       445,    115, 117.947
       446,     93, 117.884
       447,    153, 117.972
       448,    123, 117.985
       449,    106, 117.955
# Time (s), Counts, Avg Counts in 1 seconds
       450,    108, 117.930
       451,    104, 117.895
       452,    125, 117.913
       453,    111, 117.896
       454,    126, 117.916
       455,    107, 117.889
       456,    126, 117.909
       457,    120, 117.914
       458,    119, 117.917
       459,    129, 117.944
       460,    130, 117.973
       461,    100, 117.929
       462,    100, 117.886
       463,    116, 117.881
       464,    124, 117.896
