# Count_Alpha
# Time (s), Counts, Avg Counts in 1 seconds
     14263,    417, 417.000
     14264,    383, 400.000
     14265,    375, 391.667
     14266,    418, 398.250
     14267,    414, 401.400
     14268,    419, 404.333
     14269,    360, 398.000
     14270,    407, 399.125
     14271,    475, 407.556
     14272,    412, 408.000
     14273,    384, 405.818
     14274,    406, 405.833
     14275,    348, 401.384
     14276,    407, 401.786
     14277,    388, 400.867
     14278,    402, 400.938
     14279,    408, 401.353
     14280,    417, 402.222
     14281,    372, 400.632
     14282,    340, 397.600
     14283,    414, 398.381
     14284,    405, 398.682
     14285,    376, 397.696
     14286,    366, 396.375
     14287,    428, 397.640
     14288,    336, 395.269
     14289,    330, 392.852
     14290,    363, 391.786
     14291,    345, 390.172
     14292,    432, 391.567
     14293,    408, 392.097
     14294,    422, 393.031
     14295,    389, 392.909
     14296,    426, 393.882
     14297,    376, 393.371
     14298,    411, 393.861
     14299,    394, 393.865
     14300,    370, 393.237
     14301,    398, 393.359
     14302,    414, 393.875
     14303,    438, 394.951
     14304,    465, 396.619
     14305,    368, 395.953
     14306,    404, 396.136
     14307,    379, 395.755
     14308,    395, 395.739
     14309,    444, 396.766
     14310,    377, 396.354
     14311,    396, 396.347
     14312,    403, 396.480
     14313,    366, 395.882
     14314,    362, 395.231
     14315,    342, 394.226
     14316,    389, 394.130
     14317,    317, 392.727
     14318,    405, 392.946
     14319,    378, 392.684
     14320,    374, 392.362
     14321,    369, 391.966
     14322,    444, 392.833
     14323,    354, 392.197
     14324,    415, 392.564
     14325,    348, 391.857
     14326,    400, 391.984
     14327,    410, 392.261
     14328,    392, 392.258
     14329,    464, 393.328
     14330,    368, 392.956
     14331,    384, 392.826
     14332,    377, 392.600
     14333,    432, 393.155
     14334,    355, 392.625
     14335,    403, 392.767
     14336,    422, 393.162
     14337,    370, 392.853
     14338,    322, 391.921
     14339,    388, 391.870
     14340,    374, 391.641
     14341,    394, 391.671
     14342,    413, 391.937
     14343,    372, 391.691
     14344,    407, 391.878
     14345,    405, 392.036
     14346,    404, 392.178
     14347,    436, 392.694
     14348,    387, 392.628
     14349,    374, 392.414
     14350,    396, 392.454
     14351,    401, 392.551
     14352,    377, 392.378
     14353,    414, 392.615
     14354,    347, 392.120
     14355,    410, 392.312
     14356,    368, 392.053
     14357,    376, 391.884
     14358,    370, 391.656
     14359,    346, 391.186
     14360,    398, 391.255
     14361,    412, 391.465
# Time (s), Counts, Avg Counts in 1 seconds
     14362,    382, 391.370
     14363,    345, 390.911
     14364,    388, 390.882
     14365,    381, 390.786
     14366,    434, 391.202
     14367,    374, 391.038
     14368,    403, 391.151
     14369,    432, 391.533
     14370,    377, 391.398
     14371,    372, 391.220
     14372,    427, 391.545
     14373,    405, 391.667
     14374,    417, 391.893
     14375,    336, 391.398
     14376,    382, 391.316
     14377,    391, 391.313
     14378,    351, 390.965
     14379,    387, 390.932
     14380,    427, 391.237
     14381,    452, 391.748
     14382,    362, 391.500
     14383,    357, 391.215
     14384,    406, 391.336
     14385,    358, 391.065
     14386,    361, 390.823
     14387,    385, 390.776
     14388,    328, 390.278
     14389,    368, 390.102
     14390,    419, 390.328
     14391,    385, 390.287
     14392,    415, 390.477
     14393,    411, 390.634
     14394,    385, 390.591
     14395,    376, 390.481
     14396,    381, 390.410
     14397,    463, 390.948
     14398,    414, 391.118
     14399,    380, 391.036
     14400,    358, 390.797
     14401,    382, 390.734
     14402,    438, 391.071
     14403,    345, 390.745
     14404,    409, 390.873
     14405,    408, 390.993
     14406,    334, 390.597
     14407,    401, 390.669
     14408,    407, 390.781
     14409,    372, 390.653
     14410,    443, 391.007
     14411,    377, 390.913
     14412,    443, 391.260
     14413,    393, 391.271
     14414,    367, 391.112
     14415,    355, 390.876
     14416,    390, 390.870
     14417,    379, 390.793
     14418,    388, 390.776
     14419,    389, 390.764
     14420,    379, 390.690
     14421,    380, 390.623
     14422,    360, 390.431
     14423,    391, 390.435
     14424,    378, 390.358
     14425,    401, 390.423
     14426,    403, 390.500
     14427,    369, 390.370
     14428,    426, 390.584
     14429,    420, 390.760
     14430,    341, 390.464
     14431,    380, 390.402
     14432,    398, 390.447
     14433,    374, 390.351
     14434,    383, 390.308
     14435,    392, 390.318
     14436,    437, 390.586
     14437,    455, 390.954
     14438,    382, 390.903
     14439,    398, 390.943
     14440,    370, 390.826
     14441,    343, 390.559
     14442,    303, 390.072
     14443,    403, 390.144
     14444,    379, 390.082
     14445,    426, 390.279
     14446,    337, 389.989
     14447,    376, 389.913
     14448,    362, 389.763
     14449,    355, 389.578
     14450,    406, 389.665
     14451,    400, 389.719
     14452,    420, 389.879
     14453,    397, 389.916
     14454,    395, 389.943
     14455,    472, 390.368
     14456,    377, 390.299
     14457,    423, 390.467
     14458,    429, 390.663
     14459,    386, 390.640
     14460,    431, 390.843
     14461,    380, 390.789
# Time (s), Counts, Avg Counts in 1 seconds
     14462,    389, 390.780
     14463,    397, 390.811
     14464,    355, 390.634
     14465,    369, 390.527
     14466,    403, 390.588
     14467,    356, 390.419
     14468,    359, 390.267
     14469,    396, 390.295
     14470,    373, 390.212
     14471,    468, 390.584
     14472,    420, 390.724
     14473,    324, 390.408
     14474,    427, 390.580
     14475,    389, 390.573
     14476,    415, 390.687
     14477,    401, 390.735
     14478,    409, 390.819
     14479,    446, 391.074
     14480,    380, 391.023
     14481,    379, 390.968
     14482,    438, 391.182
     14483,    384, 391.149
     14484,    371, 391.058
     14485,    406, 391.125
     14486,    348, 390.933
     14487,    413, 391.031
     14488,    446, 391.274
     14489,    350, 391.092
     14490,    411, 391.180
     14491,    364, 391.061
     14492,    409, 391.139
     14493,    371, 391.052
     14494,    390, 391.047
     14495,    431, 391.219
     14496,    384, 391.188
     14497,    364, 391.072
     14498,    421, 391.199
     14499,    363, 391.080
     14500,    372, 391.000
     14501,    386, 390.979
     14502,    376, 390.917
     14503,    428, 391.070
     14504,    401, 391.112
     14505,    368, 391.016
     14506,    341, 390.811
     14507,    386, 390.792
     14508,    340, 390.585
     14509,    430, 390.745
     14510,    391, 390.746
     14511,    383, 390.715
     14512,    389, 390.708
     14513,    429, 390.860
     14514,    458, 391.127
     14515,    375, 391.063
     14516,    396, 391.083
     14517,    395, 391.098
     14518,    360, 390.977
     14519,    375, 390.914
     14520,    410, 390.988
     14521,    387, 390.973
     14522,    394, 390.985
     14523,    393, 390.992
     14524,    337, 390.786
     14525,    396, 390.806
     14526,    403, 390.852
     14527,    340, 390.660
     14528,    459, 390.917
     14529,    404, 390.966
     14530,    369, 390.884
     14531,    377, 390.833
     14532,    436, 391.000
     14533,    433, 391.155
     14534,    376, 391.099
     14535,    400, 391.132
     14536,    448, 391.339
     14537,    377, 391.287
     14538,    425, 391.409
     14539,    351, 391.264
     14540,    418, 391.360
     14541,    393, 391.366
     14542,    370, 391.289
     14543,    376, 391.235
     14544,    356, 391.110
     14545,    406, 391.162
     14546,    411, 391.232
     14547,    345, 391.070
     14548,    384, 391.045
     14549,    342, 390.875
     14550,    462, 391.121
     14551,    395, 391.135
     14552,    393, 391.141
     14553,    359, 391.031
     14554,    397, 391.051
     14555,    382, 391.020
     14556,    363, 390.925
     14557,    371, 390.858
     14558,    386, 390.841
     14559,    367, 390.761
     14560,    375, 390.708
     14561,    401, 390.742
# Time (s), Counts, Avg Counts in 1 seconds
     14562,    395, 390.757
     14563,    368, 390.681
     14564,    395, 390.695
     14565,    417, 390.782
