# Count_Alpha
# Time (s), Counts, Avg Counts in 1 seconds
        29,   1085, 1085.000
        30,   1005, 1045.000
        31,   1019, 1036.333
        32,   1009, 1029.500
        33,   1138, 1051.200
        34,   1068, 1054.000
        35,    946, 1038.571
        36,   1014, 1035.500
        37,   1034, 1035.333
        38,   1031, 1034.900
        39,   1035, 1034.909
        40,   1145, 1044.083
        41,    991, 1040.000
        42,   1028, 1039.142
        43,    969, 1034.466
        44,   1033, 1034.375
        45,   1056, 1035.647
        46,   1007, 1034.055
        47,    976, 1031.000
        48,    970, 1027.950
        49,   1043, 1028.666
        50,   1003, 1027.500
        51,   1015, 1026.957
        52,    980, 1025.000
        53,    984, 1023.360
        54,   1087, 1025.808
        55,   1110, 1028.926
        56,   1049, 1029.643
        57,   1051, 1030.379
        58,    965, 1028.200
        59,   1078, 1029.806
        60,   1000, 1028.875
        61,   1077, 1030.333
        62,   1070, 1031.500
        63,   1024, 1031.286
        64,   1078, 1032.583
        65,   1038, 1032.730
        66,   1017, 1032.315
        67,   1039, 1032.487
        68,   1072, 1033.475
        69,   1062, 1034.170
        70,   1026, 1033.976
        71,   1016, 1033.558
        72,   1065, 1034.273
        73,    957, 1032.555
        74,    930, 1030.326
        75,   1037, 1030.468
        76,   1074, 1031.375
        77,   1024, 1031.224
        78,    952, 1029.640
        79,   1050, 1030.039
        80,    944, 1028.384
        81,    944, 1026.792
        82,   1007, 1026.426
        83,   1037, 1026.618
        84,   1007, 1026.268
        85,   1118, 1027.877
        86,    974, 1026.948
        87,   1008, 1026.627
        88,    951, 1025.367
        89,   1112, 1026.787
        90,   1166, 1029.032
        91,   1012, 1028.762
        92,    988, 1028.125
        93,   1028, 1028.123
        94,    974, 1027.303
        95,    992, 1026.776
        96,   1019, 1026.662
        97,   1137, 1028.261
        98,   1054, 1028.628
        99,   1050, 1028.929
       100,    970, 1028.111
       101,   1059, 1028.534
       102,    999, 1028.135
       103,    998, 1027.733
       104,   1059, 1028.145
       105,   1112, 1029.233
       106,   1048, 1029.474
       107,   1081, 1030.126
       108,   1130, 1031.375
       109,   1099, 1032.210
       110,    997, 1031.780
       111,   1136, 1033.036
       112,   1033, 1033.036
       113,   1004, 1032.694
       114,    992, 1032.221
       115,   1086, 1032.839
       116,   1028, 1032.784
       117,   1027, 1032.719
       118,    983, 1032.166
       119,   1009, 1031.912
       120,   1003, 1031.598
       121,   1104, 1032.376
       122,   1048, 1032.542
       123,   1057, 1032.800
       124,   1070, 1033.188
       125,   1088, 1033.752
       126,    970, 1033.102
       127,   1042, 1033.192
# Time (s), Counts, Avg Counts in 1 seconds
       128,   1042, 1033.280
       129,   1004, 1032.990
       130,   1043, 1033.088
       131,   1033, 1033.087
       132,   1072, 1033.461
       133,   1044, 1033.562
       134,    988, 1033.132
       135,   1028, 1033.084
       136,   1005, 1032.824
       137,   1034, 1032.834
       138,   1026, 1032.772
       139,    999, 1032.468
       140,   1042, 1032.553
       141,    977, 1032.061
       142,   1010, 1031.868
       143,   1044, 1031.974
       144,    998, 1031.681
       145,   1012, 1031.513
       146,   1038, 1031.567
       147,   1015, 1031.428
       148,   1076, 1031.800
       149,   1017, 1031.678
       150,    981, 1031.262
       151,   1048, 1031.398
       152,   1291, 1033.492
       153,   1200, 1034.824
       154,   1162, 1035.833
       155,   1079, 1036.173
       156,   1061, 1036.367
       157,   1148, 1037.232
       158,   1032, 1037.192
       159,   1077, 1037.496
       160,   1095, 1037.932
       161,   1123, 1038.571
       162,   1016, 1038.403
       163,    985, 1038.007
       164,   1073, 1038.265
       165,    985, 1037.876
       166,   1055, 1038.000
       167,   1252, 1039.540
       168,   1050, 1039.614
       169,   1036, 1039.588
       170,   1120, 1040.155
       171,   1010, 1039.944
       172,   1064, 1040.111
       173,   1017, 1039.952
       174,   1005, 1039.712
       175,    990, 1039.374
       176,   1083, 1039.669
       177,   1095, 1040.040
       178,   1030, 1039.973
       179,    984, 1039.603
       180,    969, 1039.138
       181,   1010, 1038.948
       182,    941, 1038.311
       183,   1134, 1038.929
       184,    983, 1038.570
       185,   1091, 1038.904
       186,   1022, 1038.797
       187,    967, 1038.346
       188,    987, 1038.025
       189,   1050, 1038.099
       190,   1049, 1038.167
       191,    999, 1037.926
       192,   1092, 1038.256
       193,    978, 1037.891
       194,    959, 1037.416
       195,   1100, 1037.790
       196,    966, 1037.363
       197,   1087, 1037.657
       198,   1108, 1038.070
       199,   1007, 1037.889
       200,   1068, 1038.064
       201,   1007, 1037.884
       202,    979, 1037.546
       203,   1078, 1037.777
       204,   1008, 1037.608
       205,   1003, 1037.412
       206,    962, 1036.989
       207,    989, 1036.721
       208,   1029, 1036.678
       209,   1001, 1036.480
       210,   1044, 1036.522
       211,   1095, 1036.841
       212,   1040, 1036.858
       213,   1070, 1037.038
       214,   1023, 1036.962
       215,   1064, 1037.107
       216,   1049, 1037.170
       217,   1009, 1037.021
       218,   1042, 1037.047
       219,    997, 1036.837
       220,   1043, 1036.870
       221,    962, 1036.481
       222,   1038, 1036.490
       223,   1107, 1036.851
       224,   1057, 1036.954
       225,   1027, 1036.903
       226,   1103, 1037.237
       227,   1027, 1037.186
# Time (s), Counts, Avg Counts in 1 seconds
       228,   1010, 1037.050
       229,    995, 1036.841
       230,    996, 1036.639
       231,   1058, 1036.744
       232,    985, 1036.490
       233,   1087, 1036.736
       234,   1123, 1037.155
       235,    961, 1036.787
       236,    958, 1036.409
       237,    987, 1036.172
       238,   1015, 1036.071
       239,   1010, 1035.948
       240,   1045, 1035.990
       241,   1021, 1035.920
       242,   1026, 1035.874
       243,   1015, 1035.776
       244,   1034, 1035.769
       245,   1052, 1035.843
       246,    990, 1035.633
       247,   1115, 1035.995
       248,    954, 1035.622
       249,    991, 1035.420
       250,   1030, 1035.396
       251,   1042, 1035.426
       252,   1042, 1035.455
       253,   1026, 1035.413
       254,    980, 1035.168
