# FREQ    0.705
0.100,   0.44,    3
0.201,   0.89,    7
0.302,   1.33,    9
0.403,   1.77,   10
0.504,   2.21,    9
0.605,   2.66,    5
0.706,   3.10,    1
0.807,   3.54,   -3
0.908,   3.99,   -7
1.009,   4.43,   -9
1.110,   4.87,  -10
1.210,   5.31,   -9
1.311,   5.76,   -6
1.412,   6.20,   -2
1.513,   6.64,    3
1.614,   7.08,    7
1.715,   7.53,    9
1.816,   7.97,   10
1.917,   8.41,    9
2.017,   8.86,    6
2.118,   9.30,    2
2.219,   9.74,   -2
2.321,  10.27,   -7
2.421,  10.72,   -9
2.522,  11.16,  -10
2.623,  11.60,   -9
2.724,  12.04,   -6
2.825,  12.49,   -2
2.926,  12.93,    3
3.027,  13.37,    7
3.128,  13.82,    9
3.229,  14.26,   10
3.329,  14.70,    9
3.430,  15.14,    6
3.531,  15.59,    2
3.632,  16.03,   -2
3.733,  16.47,   -6
3.834,  16.91,   -9
3.935,  17.36,  -10
4.036,  17.80,   -9
4.137,  18.24,   -6
4.238,  18.69,   -2
4.339,  19.13,    2
4.439,  19.57,    6
4.541,  20.10,    9
4.641,  20.55,   10
4.742,  20.99,    9
4.843,  21.43,    6
4.944,  21.87,    2
5.045,  22.32,   -2
5.146,  22.76,   -6
5.247,  23.20,   -9
5.348,  23.65,  -10
5.449,  24.09,   -9
5.550,  24.53,   -6
5.651,  24.97,   -2
5.751,  25.42,    2
5.852,  25.86,    6
5.953,  26.30,    9
6.054,  26.74,   10
6.155,  27.19,    9
6.256,  27.63,    7
6.357,  28.07,    3
6.458,  28.52,   -2
6.559,  28.96,   -6
6.660,  29.40,   -9
6.761,  29.93,  -10
6.862,  30.38,   -9
6.963,  30.82,   -6
7.064,  31.26,   -2
7.165,  31.70,    2
7.266,  32.15,    6
7.366,  32.59,    9
7.467,  33.03,   10
7.568,  33.47,    9
7.669,  33.92,    7
7.770,  34.36,    3
7.871,  34.80,   -2
7.972,  35.25,   -6
8.073,  35.69,   -9
8.174,  36.13,  -10
8.275,  36.57,   -9
8.376,  37.02,   -7
8.477,  37.46,   -3
8.577,  37.90,    1
8.678,  38.35,    5
8.779,  38.79,    8
8.881,  39.32,   10
8.981,  39.76,    9
9.082,  40.21,    7
9.183,  40.65,    3
9.284,  41.09,   -2
9.385,  41.53,   -6
9.486,  41.98,   -9
9.587,  42.42,  -10
9.688,  42.86,   -9
9.789,  43.30,   -7
9.890,  43.75,   -3
9.991,  44.19,    1
10.092,  44.63,    5
10.193,  45.08,    8
10.294,  45.52,   10
10.395,  45.96,    9
10.495,  46.40,    7
10.596,  46.85,    4
10.697,  47.29,   -1
10.798,  47.73,   -5
10.899,  48.18,   -8
11.000,  48.71,  -10
11.101,  49.15,   -9
11.202,  49.59,   -7
11.303,  50.04,   -3
11.404,  50.48,    1
11.505,  50.92,    5
11.606,  51.36,    8
11.707,  51.81,   10
11.808,  52.25,    9
11.909,  52.69,    7
12.010,  53.13,    4
12.110,  53.58,   -1
12.211,  54.02,   -5
12.312,  54.46,   -8
12.413,  54.91,  -10
12.514,  55.35,  -10
12.615,  55.79,   -7
12.716,  56.23,   -4
12.817,  56.68,    0
12.917,  57.12,    5
13.018,  57.56,    8
13.119,  58.01,   10
13.221,  58.54,    9
13.321,  58.98,    7
13.422,  59.42,    3
13.523,  59.87,   -1
13.624,  60.31,   -5
13.725,  60.75,   -8
13.826,  61.19,  -10
13.927,  61.64,  -10
14.028,  62.08,   -7
14.129,  62.52,   -4
14.230,  62.96,    0

