   0    352  0.0177
   1    528  0.0266
   2    784  0.0395
   3   1056  0.0532
   4   1328  0.0669
   5   1568  0.0790
   6   1840  0.0927
   7   2096  0.1055
   8   2352  0.1184
   9   2608  0.1313
  10   2816  0.1418
  11   3120  0.1571
  12   3392  0.1708
  13   3648  0.1837
  14   3872  0.1950
  15   4113  0.2071
  16   4385  0.2208
  17   4657  0.2345
  18   4865  0.2450
  19   5153  0.2595
  20   5409  0.2724
  21   5713  0.2877
  22   5953  0.2998
  23   6241  0.3143
  24   6481  0.3263
  25   6785  0.3417
  26   6961  0.3505
  27   7233  0.3642
  28   7521  0.3787
  29   7745  0.3900
  30   7985  0.4021
  31   8177  0.4118
  32   8370  0.4215
  33   8594  0.4327
  34   8930  0.4497
  35   9138  0.4601
  36   9410  0.4738
  37   9554  0.4811
  38   9826  0.4948
  39  10242  0.5157
  40  10530  0.5302
  41  10770  0.5423
  42  11026  0.5552
  43  11298  0.5689
  44  11426  0.5754
  45  11810  0.5947
  46  12050  0.6068
  47  12274  0.6181
  48  12547  0.6318
  49  12611  0.6350
  50  13059  0.6576
  51  13347  0.6721
  52  13587  0.6842
  53  13875  0.6987
  54  14051  0.7075
  55  14435  0.7269
  56  14595  0.7349
  57  14899  0.7502
  58  15171  0.7639
  59  15427  0.7768
  60  15683  0.7897
  61  15923  0.8018
  62  16259  0.8187
  63  16404  0.8260
  64  16436  0.8276
  65  16964  0.8542
  66  17204  0.8663
  67  17540  0.8832
  68  17460  0.8792
  69  17940  0.9034
  70  18276  0.9203
  71  18532  0.9332
  72  18820  0.9477
  73  18948  0.9541
  74  19028  0.9582
  75  19524  0.9831
  76  19716  0.9928
  77  20020  1.0081
  78  20340  1.0242
  79  20260  1.0202
  80  20773  1.0460
  81  20789  1.0468
  82  21301  1.0726
  83  21445  1.0799
  84  21893  1.1024
  85  22149  1.1153
  86  22421  1.1290
  87  22693  1.1427
  88  22981  1.1572
  89  23205  1.1685
  90  23093  1.1628
  91  23749  1.1959
  92  24085  1.2128
  93  24261  1.2217
  94  24245  1.2209
  95  24582  1.2378
  96  24934  1.2555
  97  24982  1.2580
  98  24982  1.2580
  99  25702  1.2942
 100  25510  1.2846
 101  26166  1.3176
