# AWG_Sines.py
# offset 0.500, amplitude 0.500
#step through frequencies
# Loop    0 of  100
25   1259 -0.0106  1.1703 -0.0077  0.7637
22   1413 -0.0109  1.1669 -0.0089  0.7157
20   1585 -0.0082  1.1701 -0.0056  0.6663
18   1778 -0.0124  1.1672 -0.0107  0.6145
16   1995 -0.0087  1.1726 -0.0078  0.5665
14   2239 -0.0099  1.1698 -0.0064  0.5189
12   2512 -0.0014  1.1716 -0.0083  0.4728
11   2818 -0.0031  1.1627 -0.0061  0.4294
10   3162 -0.0032  1.1712 -0.0088  0.3898
9   3548 -0.0050  1.1643 -0.0073  0.3525
8   3981 -0.0048  1.1655 -0.0081  0.3177
7   4467  0.0031  1.1658 -0.0049  0.2895
6   5012 -0.0042  1.1677 -0.0094  0.2598
6   5623 -0.0482  1.1690 -0.0112  0.2335
5   6310  0.0105  1.1658 -0.0084  0.2104
4   7079 -0.0041  1.1693 -0.0070  0.1874
4   7943 -0.0183  1.1642 -0.0090  0.1683
4   8913 -0.0136  1.1709 -0.0072  0.1516
3  10000 -0.0169  1.1659 -0.0072  0.1345
# Loop    3 of  100
312    100  0.0231  1.1642  0.0239  1.1561
279    112  0.0164  1.1712  0.0163  1.1612
248    126 -0.0280  1.1738 -0.0304  1.1632
222    141 -0.0206  1.1686 -0.0195  1.1558
198    158 -0.0020  1.1675 -0.0010  1.1520
176    178 -0.0094  1.1672 -0.0080  1.1478
156    200 -0.0145  1.1669 -0.0166  1.1435
140    224 -0.0038  1.1736 -0.0002  1.1436
125    251 -0.0167  1.1709 -0.0179  1.1368
111    282 -0.0109  1.1679 -0.0112  1.1239
99    316 -0.0017  1.1711 -0.0036  1.1198
88    355  0.0132  1.1656  0.0185  1.1028
79    398  0.0075  1.1672  0.0086  1.0916
70    447 -0.0135  1.1704 -0.0106  1.0749
62    501 -0.0031  1.1658 -0.0033  1.0542
56    562 -0.0144  1.1655 -0.0133  1.0321
50    631 -0.0132  1.1676 -0.0104  1.0060
44    708 -0.0094  1.1639 -0.0112  0.9730
39    794 -0.0041  1.1648 -0.0046  0.9398
35    891 -0.0055  1.1669 -0.0091  0.9010
31   1000 -0.0037  1.1682 -0.0064  0.8602
28   1122 -0.0107  1.1673 -0.0122  0.8146
25   1259 -0.0090  1.1676 -0.0054  0.7648
22   1413 -0.0020  1.1670 -0.0056  0.7173
20   1585 -0.0075  1.1693 -0.0060  0.6676
18   1778  0.0009  1.1684 -0.0069  0.6152
16   1995 -0.0074  1.1673 -0.0087  0.5669
14   2239 -0.0014  1.1787 -0.0084  0.5191
12   2512 -0.0015  1.1879 -0.0041  0.4732
11   2818 -0.0170  1.1642 -0.0092  0.4325
10   3162 -0.0110  1.1719 -0.0063  0.3909
9   3548 -0.0083  1.1673 -0.0085  0.3517
8   3981 -0.0005  1.1689 -0.0081  0.3199
7   4467 -0.0204  1.1645 -0.0114  0.2887
6   5012 -0.0209  1.1667 -0.0042  0.2596
6   5623 -0.0839  1.1865 -0.0195  0.2309
5   6310 -0.0065  1.1700 -0.0096  0.2098
4   7079 -0.0024  1.1663 -0.0070  0.1879
4   7943 -0.0102  1.1658 -0.0083  0.1686
4   8913 -0.0210  1.1705 -0.0087  0.1498
3  10000 -0.0142  1.1656 -0.0080  0.1352
# Loop    4 of  100
312    100 -0.0329  1.1660 -0.0320  1.1590
279    112 -0.0257  1.1674 -0.0228  1.1576
248    126  0.0046  1.1716  0.0034  1.1610
222    141 -0.0063  1.1689 -0.0062  1.1558
198    158  0.0476  1.1687  0.0475  1.1532
176    178 -0.0115  1.1689 -0.0098  1.1506
156    200 -0.0204  1.1675 -0.0212  1.1448
140    224  0.0141  1.1658  0.0137  1.1377
125    251 -0.0109  1.1677 -0.0127  1.1335
111    282 -0.0056  1.1700 -0.0038  1.1266
99    316 -0.0015  1.1693  0.0006  1.1162
88    355 -0.0090  1.1660 -0.0081  1.1028
79    398  0.0080  1.1665  0.0075  1.0924
70    447 -0.0108  1.1673 -0.0073  1.0741
62    501 -0.0040  1.1646 -0.0008  1.0541
56    562 -0.0158  1.1647 -0.0087  1.0320
50    631 -0.0042  1.1668 -0.0068  1.0041
44    708 -0.0110  1.1674 -0.0092  0.9754
39    794 -0.0002  1.1678 -0.0035  0.9399
35    891 -0.0130  1.1683 -0.0126  0.9032
31   1000 -0.0062  1.1684 -0.0106  0.8628
28   1122 -0.0077  1.1663 -0.0057  0.8144
25   1259  0.0002  1.1653 -0.0078  0.7657
22   1413 -0.0077  1.1702 -0.0073  0.7182
20   1585 -0.0115  1.1671 -0.0106  0.6631
18   1778 -0.0061  1.1704 -0.0052  0.6162
16   1995 -0.0045  1.1631 -0.0059  0.5669
14   2239 -0.0030  1.1721 -0.0081  0.5163
12   2512 -0.0114  1.1680 -0.0094  0.4811
11   2818 -0.0062  1.1727 -0.0033  0.4286
10   3162 -0.0042  1.1679 -0.0052  0.3896
9   3548 -0.0134  1.1699 -0.0083  0.3531
8   3981 -0.0138  1.1676 -0.0079  0.3190
7   4467  0.0084  1.1612 -0.0063  0.2894
6   5012 -0.0332  1.1672 -0.0144  0.2591
6   5623 -0.0873  1.1495 -0.0027  0.2311
5   6310 -0.0177  1.1665 -0.0063  0.2097
4   7079 -0.0117  1.1701 -0.0071  0.1879
4   7943 -0.0181  1.1655 -0.0080  0.1695
4   8913 -0.0100  1.1754 -0.0079  0.1503
3  10000 -0.0128  1.1634 -0.0071  0.1354
# Loop    5 of  100
312    100 -0.0271  1.1683 -0.0282  1.1605
279    112 -0.0241  1.1684 -0.0252  1.1600
248    126 -0.0059  1.1688 -0.0058  1.1585
222    141 -0.0085  1.1670 -0.0080  1.1544
198    158 -0.0030  1.1698 -0.0036  1.1542
176    178 -0.0129  1.1704 -0.0128  1.1510
156    200 -0.0111  1.1645 -0.0127  1.1419
140    224 -0.0021  1.1699  0.0016  1.1404
125    251 -0.0170  1.1704 -0.0173  1.1362
111    282 -0.0037  1.1686 -0.0069  1.1280
99    316 -0.0047  1.1695 -0.0021  1.1174
88    355 -0.0059  1.1682 -0.0043  1.1049
79    398 -0.0078  1.1691 -0.0033  1.0918
70    447  0.0049  1.1663  0.0108  1.0739
62    501 -0.0123  1.1672 -0.0117  1.0541
