#  0.01 10 500
10 6
20 3
30 6
40 4
50 4
60 2
70 5
80 5
90 2
100 4
110 1
120 3
130 4
140 2
150 2
160 3
170 4
180 3
190 3
200 5
210 4
220 5
230 3
240 4
250 3
260 6
270 6
280 7
290 2
300 6
310 3
320 3
330 2
340 5
350 1
360 5
370 2
380 2
390 7
400 3
410 2
420 3
430 3
440 2
450 2
460 5
470 4
480 2
490 6
500 8
510 4
520 6
530 7
540 3
550 7
560 3
570 2
580 2
590 3
600 1
610 6
620 2
630 7
640 4
650 5
660 7
670 2
680 2
690 1
700 4
710 2
720 3
730 3
740 5
750 3
760 8
770 1
780 4
790 7
800 2
810 3
820 7
830 3
840 3
850 1
860 5
870 2
880 4
890 5
900 5
910 5
920 4
930 4
940 7
950 4
960 7
970 3
980 3
990 6
1000 3
1000 0
# Time is up!


